2026-01-26 19:12:51 | INFO     | wick_reversal | SYSTEM | strategy_init
2026-01-26 19:12:51 | INFO     | wick_reversal | SYSTEM | strategy_ready
2026-01-27 07:21:11 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_initiated
2026-01-27 07:21:11 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_complete
2026-01-27 18:39:03 | INFO     | wick_reversal | SYSTEM | strategy_init
2026-01-27 18:39:03 | INFO     | wick_reversal | SYSTEM | strategy_ready
2026-01-27 18:53:04 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_initiated
2026-01-27 18:53:04 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_complete
2026-01-27 18:53:06 | INFO     | wick_reversal | SYSTEM | strategy_init
2026-01-27 18:53:06 | INFO     | wick_reversal | SYSTEM | strategy_ready
2026-01-27 18:57:54 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_initiated
2026-01-27 18:57:54 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_complete
2026-01-27 18:57:56 | INFO     | wick_reversal | SYSTEM | strategy_init
2026-01-27 18:57:56 | INFO     | wick_reversal | SYSTEM | strategy_ready
2026-01-27 19:05:48 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_initiated
2026-01-27 19:05:48 | INFO     | wick_reversal | SYSTEM | strategy_shutdown_complete
